scene_coarse_key,scene_label,param,samples,mean,median,std,min,max
刮刀高度_上=33.000 | 刮刀高度_下=36.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S1,wet_weight,519,29.943545279383432,29.9,0.46685079635953375,28.400000000000002,32.300000000000004
刮刀高度_上=30.500 | 刮刀高度_下=34.500 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S2,wet_weight,237,29.23628691983122,29.3,0.7156123119176679,26.9,31.4
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S3,wet_weight,105,29.552380952380954,29.6,0.6584390253572299,27.599999999999998,31.5
刮刀高度_上=31.500 | 刮刀高度_下=35.500 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S4,wet_weight,65,29.358461538461537,29.3,0.7945762891566427,27.599999999999998,31.4
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S5,wet_weight,55,29.450909090909093,29.4,0.7238464747501806,28.0,32.099999999999994
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S6,wet_weight,30,29.306666666666672,29.35,0.5638754787677464,28.1,30.5
刮刀高度_上=33.000 | 刮刀高度_下=36.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S1,印刷压力,519,59.42581888246628,63.0,6.775066783220671,40.0,65.0
刮刀高度_上=30.500 | 刮刀高度_下=34.500 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S2,印刷压力,237,60.0042194092827,60.0,5.701800655914941,44.0,65.0
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S3,印刷压力,105,58.266666666666666,60.0,7.142450782091759,40.0,65.0
刮刀高度_上=31.500 | 刮刀高度_下=35.500 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S4,印刷压力,65,59.43076923076923,60.0,5.812372032058277,48.0,65.0
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S5,印刷压力,55,60.4,65.0,5.741713396476068,45.0,65.0
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S6,印刷压力,30,58.2,59.5,6.857599191164985,45.0,65.0
刮刀高度_上=33.000 | 刮刀高度_下=36.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S1,印刷高度偏移,519,2.2952793834296723,2.25,0.10868751489845957,2.1,2.6
刮刀高度_上=30.500 | 刮刀高度_下=34.500 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S2,印刷高度偏移,237,2.3740506329113917,2.4,0.06155205653880622,2.2,2.45
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S3,印刷高度偏移,105,2.466666666666667,2.5,0.1212370104316858,2.2,2.75
刮刀高度_上=31.500 | 刮刀高度_下=35.500 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S4,印刷高度偏移,65,2.4369230769230765,2.45,0.021973625933978117,2.4,2.45
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S5,印刷高度偏移,55,2.456363636363636,2.45,0.01666391161802118,2.45,2.5
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S6,印刷高度偏移,30,2.4500000000000006,2.45,4.440892098500626e-16,2.45,2.45
刮刀高度_上=33.000 | 刮刀高度_下=36.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S1,刮刀高度偏移,519,-0.3950385356454721,-0.7,0.7035436716629391,-1.2,1.25
刮刀高度_上=30.500 | 刮刀高度_下=34.500 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S2,刮刀高度偏移,237,0.8566666666666667,0.85,0.13856203452640137,0.5,1.38
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S3,刮刀高度偏移,105,0.43761904761904763,0.05,0.6988296662952503,-0.2,2.0
刮刀高度_上=31.500 | 刮刀高度_下=35.500 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S4,刮刀高度偏移,65,-0.20846153846153845,-0.3,0.3946614158187936,-0.45,1.35
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.000 | 墨刀高度_下=37.000,S5,刮刀高度偏移,55,-0.2572727272727272,-0.23,0.1030349375071749,-0.46,-0.1
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.500 | 墨刀高度_下=37.000,S6,刮刀高度偏移,30,-0.227,-0.2,0.07057619995437556,-0.4,-0.15
