current_time,next_time,current_scene,current_wet_weight,next_wet_weight,target_wet_weight,required_reduction,expected_reduction,noise_scope,noise_mean,noise_std,sampled_noise,noisy_expected_reduction,predicted_next_wet_weight,noisy_predicted_next_wet_weight,actual_next_reduction,strategy_type,has_recommendation,hit_reduce_direction,hit_reduce_direction_noisy,signed_error,abs_error,noisy_signed_error,noisy_abs_error
2025-12-20 00:07:38,2025-12-20 02:21:55,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=50-60万,28.6,28.9,29.2,0.0,1.2473678729011588,scene,-0.07499999999999982,0.613086453936147,0.11181791388042259,1.3591857867815813,27.352632127098843,27.24081421321842,-0.29999999999999716,joint,1,0,0,-1.547367872901156,1.547367872901156,-1.6591857867815785,1.6591857867815785
2025-12-20 02:21:55,2025-12-20 03:39:19,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,28.9,29.3,28.9,0.0,1.2473678729011588,global,-0.0012087912087912103,0.6621050930240825,-0.6897875646147218,0.557580308286437,27.65263212709884,28.342419691713562,-0.40000000000000213,joint,1,0,0,-1.647367872901161,1.647367872901161,-0.9575803082864391,0.9575803082864391
2025-12-20 03:39:19,2025-12-20 05:58:54,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,29.3,29.2,29.04,0.26000000000000156,0.6236839364505794,global,-0.0007683863885839729,0.6618749455984099,0.4959364580100766,1.119620394460656,28.67631606354942,28.180379605539343,0.10000000000000142,joint,1,1,1,-0.523683936450578,0.523683936450578,-1.0196203944606546,1.0196203944606546
2025-12-20 05:58:54,2025-12-20 08:27:37,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,29.2,28.400000000000002,29.11,0.08999999999999986,0.6236839364505794,global,-0.0008771929824561411,0.661520127929059,0.6213252985302188,1.2450092349807982,28.57631606354942,27.9549907650192,0.7999999999999972,joint,1,1,1,0.17631606354941776,0.17631606354941776,-0.445009234980801,0.445009234980801
2025-12-20 08:27:37,2025-12-20 09:44:49,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,28.400000000000002,29.0,28.915,0.0,1.2473678729011588,global,-0.0017524644030668104,0.6616859180681729,-1.2927249743907916,-0.04535710148963279,27.152632127098844,28.445357101489634,-0.5999999999999979,joint,1,0,0,-1.8473678729011567,1.8473678729011567,-0.5546428985103651,0.5546428985103651
2025-12-20 09:44:49,2025-12-20 12:46:53,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,29.0,28.8,28.939999999999998,0.060000000000002274,0.6236839364505794,global,-0.0010940919037199124,0.6616229845170459,-0.8626459836109018,-0.23896204716032243,28.37631606354942,29.23896204716032,0.1999999999999993,joint,1,1,0,-0.4236839364505801,0.4236839364505801,0.4389620471603217,0.4389620471603217
2025-12-20 12:46:53,2025-12-20 13:42:59,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,28.8,28.400000000000002,28.875,0.0,1.2473678729011588,global,-0.0013114754098360647,0.6612940007606946,0.08322861625951825,1.330596489160677,27.552632127098843,27.469403510839324,0.3999999999999986,joint,1,1,1,-0.8473678729011602,0.8473678729011602,-0.9305964891606784,0.9305964891606784
2025-12-20 13:42:59,2025-12-20 15:48:59,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,28.400000000000002,28.2,28.81,0.0,1.2473678729011588,global,-0.001746724890829692,0.6610640533084595,-0.21080333481425295,1.036564538086906,27.152632127098844,27.363435461913095,0.20000000000000284,joint,1,1,1,-1.047367872901156,1.047367872901156,-0.8365645380869031,0.8365645380869031
2025-12-20 15:48:59,2025-12-20 17:49:13,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,28.2,29.2,28.580000000000002,0.0,1.2473678729011588,scene,-0.0999999999999999,0.4375255094603864,-0.10735093499658804,1.1400169379045708,26.95263212709884,27.05998306209543,-1.0,joint,1,0,0,-2.247367872901159,2.247367872901159,-2.140016937904571,2.140016937904571
2025-12-20 17:49:13,2025-12-20 20:01:28,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,29.2,29.8,28.720000000000002,0.4799999999999969,0.6236839364505794,scene,0.03750000000000009,0.547579902845237,-0.4296097109834603,0.1940742254671191,28.57631606354942,29.00592577453288,-0.6000000000000014,joint,1,0,0,-1.223683936450581,1.223683936450581,-0.7940742254671205,0.7940742254671205
2025-12-20 20:01:28,2025-12-20 21:42:36,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,29.8,29.1,28.815,0.9849999999999994,0.9849999999999994,scene,0.10000000000000024,0.5456901847914962,0.5798788434081646,1.564878843408164,28.815,28.235121156591838,0.6999999999999993,joint,1,1,1,-0.28500000000000014,0.28500000000000014,-0.8648788434081647,0.8648788434081647
