scene_coarse_key,sample_count,wet_weight_mean,wet_weight_std,scene_label,scene_desc
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,483,29.970186335403728,0.43719846331777074,S1,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832...
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,237,29.236286919831223,0.7171268370232918,S2,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 |...
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,72,29.345833333333335,0.6683883285534528,S3,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832...
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,65,29.358461538461537,0.8007598554834316,S4,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300...
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,55,29.45090909090909,0.7305180118632015,S5,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832...
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,36,29.58611111111111,0.6770325072498486,S6,刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 |...
