scene_label,scene_desc,tree_leaf_id,sample_count,wet_weight_mean,wet_weight_std,刮刀高度_上_min,刮刀高度_上_max,刮刀高度_下_min,刮刀高度_下_max,墨刀高度_上_min,墨刀高度_上_max,墨刀高度_下_min,墨刀高度_下_max,网版寿命_min,网版寿命_max
T1,刮刀高度_上=30.300-32.000 | 刮刀高度_下=34.300-35.400 | 墨刀高度_上=31.832-32.300 | 墨刀高度_下=36.784-37.200 | 网版寿命=544861.000-672909.000,13,49,29.102040816326532,0.5636524475531471,30.3,32.0,34.3,35.4,31.832,32.3,36.784,37.2,544861.0,672909.0
T2,刮刀高度_上=33.000 | 刮刀高度_下=36.000-37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | 网版寿命=5608.000-78896.000,5,30,29.17,0.5471871646004208,33.0,33.0,36.0,37.0,31.832,31.832,36.784,36.784,5608.0,78896.0
T3,刮刀高度_上=30.300-32.000 | 刮刀高度_下=34.300-35.400 | 墨刀高度_上=31.832-32.300 | 墨刀高度_下=36.784-37.200 | 网版寿命=1072.000-384102.000,9,155,29.18064516129032,0.8344915844037729,30.3,32.0,34.3,35.4,31.832,32.3,36.784,37.2,1072.0,384102.0
T4,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | 网版寿命=115888.000-351750.000,8,30,29.30666666666667,0.5735150741086801,33.0,33.0,37.0,37.0,32.3,32.3,37.2,37.2,115888.0,351750.0
T5,刮刀高度_上=30.300-32.000 | 刮刀高度_下=34.300-35.400 | 墨刀高度_上=31.832-32.300 | 墨刀高度_下=36.784-37.200 | 网版寿命=678235.000-1033074.000,14,95,29.37263157894737,0.6308457857314579,30.3,32.0,34.3,35.4,31.832,32.3,36.784,37.2,678235.0,1033074.0
T6,刮刀高度_上=30.300-32.000 | 刮刀高度_下=34.300-35.400 | 墨刀高度_上=31.832-32.300 | 墨刀高度_下=36.784-37.200 | 网版寿命=384968.000-543779.000,11,75,29.477333333333334,0.6213701802475726,30.3,32.0,34.3,35.4,31.832,32.3,36.784,37.2,384968.0,543779.0
