scene_coarse_key,life_segment,scene_fine_key,sample_count
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,10-20万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=10-20万,80
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,10-20万,刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=10-20万,13
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,60-70万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,12
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,40-50万,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=40-50万,12
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,70-80万,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=70-80万,12
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,50-60万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=50-60万,12
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,80-90万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=80-90万,12
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,100-110万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=100-110万,12
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,80-90万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=80-90万,12
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,20-30万,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=20-30万,12
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,10-20万,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=10-20万,12
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,0-10万,刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=0-10万,12
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,70-80万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=70-80万,11
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,50-60万,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=50-60万,11
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,60-70万,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=60-70万,11
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,30-40万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=30-40万,11
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,70-80万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=70-80万,11
刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,0-10万,刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=0-10万,11
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,110-120万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=110-120万,11
刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,90-100万,刮刀高度_上=32.800 | 刮刀高度_下=35.800 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=90-100万,11
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,20-30万,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=20-30万,11
刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,20-30万,刮刀高度_上=33.000-33.200 | 刮刀高度_下=36.000-36.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=20-30万,11
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,80-90万,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=80-90万,10
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,60-70万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=60-70万,10
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,30-40万,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=30-40万,7
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,30-40万,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=30-40万,5
刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,30-40万,刮刀高度_上=33.000 | 刮刀高度_下=37.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=30-40万,5
刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,100-110万,刮刀高度_上=30.300-30.400 | 刮刀高度_下=34.300-34.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=100-110万,4
刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200,0-10万,刮刀高度_上=31.400 | 刮刀高度_下=35.400 | 墨刀高度_上=32.300 | 墨刀高度_下=37.200 | life=0-10万,4
刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,20-30万,刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=20-30万,3
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,90-100万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=90-100万,2
刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,10-20万,刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=10-20万,2
刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,40-50万,刮刀高度_上=32.200 | 刮刀高度_下=35.200 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=40-50万,2
刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784,20-30万,刮刀高度_上=32.000 | 刮刀高度_下=35.000 | 墨刀高度_上=31.832 | 墨刀高度_下=36.784 | life=20-30万,1
